trace,y,x,z,z_anomaly,code
69,42.43355292,-8.636987479,3.397,2.6311,pipe
89,42.43355086,-8.636991299,3.388,2.6873,pipe
107,42.43354894,-8.636995043,3.406,2.7475,pipe
123,42.43354718,-8.636998693,3.440,2.7829,pipe
136,42.43354588,-8.637001323,3.425,2.7352,pipe
140,42.43354532,-8.637002545,3.409,2.7083,pipe
144,42.43354501,-8.637003294,3.414,2.6997,pipe
246,42.43353516,-8.637023161,3.413,2.3183,defect
268,42.43353306,-8.637027959,3.389,2.2858,defect
291,42.43353071,-8.637032551,3.407,2.3038,defect
313,42.43352847,-8.637037147,3.415,2.3372,defect
336,42.43352626,-8.637041735,3.408,2.3574,defect
360,42.43352394,-8.637046671,3.422,2.3677,defect
651,42.43349604,-8.637106752,3.379,2.9503,defect
676,42.43349363,-8.63711207,3.387,3.1106,defect
698,42.43349143,-8.637116756,3.391,3.2316,defect
719,42.4334894,-8.637121228,3.394,3.2387,defect
741,42.43348729,-8.637125925,3.382,2.8962,defect
763,42.43348512,-8.637130405,3.371,2.8254,defect
810,42.43348055,-8.637140019,3.406,2.3082,defect
833,42.43347826,-8.637144826,3.368,2.4117,defect
857,42.43347601,-8.637149712,3.385,2.4355,defect
880,42.43347384,-8.637154537,3.367,2.3943,defect
902,42.43347172,-8.637159167,3.379,2.4213,defect
922,42.43346975,-8.637163197,3.387,2.4511,defect
1201,42.43344118,-8.637219208,3.339,3.2524,bump
1225,42.43343887,-8.63722439,3.308,3.2281,bump
1251,42.43343623,-8.637229529,3.344,3.2695,bump
1276,42.4334338,-8.63723486,3.312,3.2427,bump
1301,42.43343142,-8.637240169,3.327,3.2628,bump
1326,42.43342907,-8.637245331,3.329,3.2648,bump
1351,42.43342668,-8.637250626,3.330,3.2658,bump
1377,42.43342433,-8.637255875,3.323,3.2534,bump
1404,42.43342195,-8.637261422,3.325,3.2499,bump
1430,42.43341971,-8.637266725,3.329,3.2539,bump
1453,42.43341761,-8.637271272,3.369,3.2885,bump
1471,42.43341596,-8.637275402,3.379,3.2930,bump
1486,42.43341459,-8.637278772,3.387,3.3010,bump
1503,42.43341307,-8.637282588,3.413,3.3270,bump
1522,42.43341117,-8.63728686,3.414,3.3280,bump
1546,42.4334092,-8.637292108,3.350,3.2640,bump
1566,42.43340746,-8.637296243,3.397,3.3110,bump
1585,42.43340564,-8.637300116,3.439,3.3530,bump
1602,42.43340432,-8.637304479,3.354,3.2618,bump
1621,42.43340283,-8.63730818,3.368,3.2712,bump
1640,42.4334011,-8.637311729,3.408,3.3112,bump
1658,42.43339948,-8.637315617,3.420,3.3232,bump
1676,42.43339769,-8.637319798,3.411,3.3142,bump
1693,42.43339631,-8.63732342,3.476,3.3792,bump
1711,42.4333949,-8.637327034,3.441,3.3465,bump
1727,42.43339342,-8.637330917,3.437,3.3456,bump
1744,42.43339185,-8.63733491,3.416,3.3246,bump
1765,42.4333901,-8.637339314,3.377,3.2910,bump
1789,42.43338814,-8.637344506,3.384,3.3035,bump
1812,42.43338681,-8.6373494,3.308,3.2336,bump
1835,42.43338489,-8.637354308,3.313,3.2468,bump
1859,42.43338337,-8.637359272,3.271,3.2068,bump
1885,42.43338166,-8.637364562,3.298,3.2372,bump
1906,42.43337975,-8.637369571,3.313,3.2597,bump
1929,42.43337799,-8.637374636,3.360,3.3067,bump
1953,42.43337629,-8.637380101,3.318,3.2647,bump
1975,42.43337495,-8.637385257,3.324,3.2707,bump
1997,42.43337349,-8.6373901,3.340,3.2867,bump
2018,42.43337226,-8.63739515,3.304,3.2507,bump
2042,42.43337016,-8.637400757,3.426,3.3727,bump
2066,42.43336939,-8.637405657,3.412,3.3587,bump
2178,42.43336344,-8.637432232,3.401,2.6446,defect
2200,42.43336238,-8.637436824,3.380,2.5977,defect
2222,42.43336135,-8.637442105,3.425,2.3684,defect
2247,42.43336044,-8.637447563,3.437,2.4929,defect
